iter	RMSE
177	4.874092536
178	4.867921211
179	4.861447614
180	4.859499001
181	4.854543035
182	4.852201828
183	4.849402701
184	4.84620766
185	4.840723285
186	4.834848893
187	4.831940174
188	4.826427464
189	4.823568334
190	4.819470907
191	4.816872775
192	4.81359612
193	4.807273272
194	4.800686283
195	4.79825626
196	4.794844623
197	4.791202108
198	4.788499104
199	4.786076296
200	4.780270296
201	4.777282142
202	4.774496519
203	4.771693993
204	4.767751926
205	4.764759501
206	4.761103048
207	4.759266317
208	4.757015099
209	4.754167189
210	4.752545289
211	4.745850872
212	4.739741417
213	4.736887931
214	4.734356638
215	4.732126897
216	4.728242801
217	4.724312861
218	4.721602618
219	4.71726255
220	4.712963964
221	4.71073833
222	4.704914223
223	4.702198384
224	4.697459295
225	4.695580517
226	4.693972485
227	4.691232721
228	4.688764327
229	4.684277938
230	4.681104495
231	4.678455327
232	4.675511973
233	4.672887365
234	4.670113961
235	4.667581529
236	4.667105766
237	4.663119707
238	4.659821864
239	4.655372803
240	4.65308338
241	4.651047599
242	4.64763806
243	4.646957832
244	4.643620992
245	4.641313866
246	4.637855133
247	4.636122488
248	4.633221218
249	4.631729045
250	4.630450363
251	4.624829021
252	4.622063219
253	4.618505273
254	4.615438186
255	4.612112184
256	4.608453229
257	4.606925647
258	4.606593895
259	4.605596146
260	4.60446466
261	4.601907694
262	4.599779947
263	4.596348203
264	4.593924764
265	4.592994308
266	4.589878356
267	4.585393835
268	4.582427249
269	4.578553205
270	4.575789243
271	4.575606124
272	4.571171643
273	4.568389898
274	4.568106131
275	4.565639758
276	4.562873453
277	4.56138832
278	4.557415922
279	4.552465002
280	4.549851957
281	4.549564326
282	4.544361497
283	4.542345847
284	4.542066872
285	4.538775665
286	4.538549903
287	4.534609728
288	4.530745629
289	4.527851644
290	4.526482811
291	4.521392209
292	4.519803731
293	4.515325538
294	4.508372508
295	4.506974238
296	4.500931183
297	4.497733572
298	4.493902436
299	4.48908023
300	4.486856351
301	4.484786901
302	4.483346249
303	4.482492855
304	4.478090632
305	4.475994647
306	4.471069941
307	4.470110446
308	4.464753682
309	4.462950175
310	4.458053447
311	4.45686966
312	4.453821587
313	4.450250442
314	4.44685696
315	4.446700272
316	4.443094444
317	4.439318683
318	4.43826796
319	4.433616892
320	4.426514113
321	4.424210669
322	4.41968162
323	4.415631582
324	4.413468325
325	4.408419163
326	4.406368034
327	4.401632906
328	4.399190773
329	4.397738698
330	4.395102415
331	4.392082732
332	4.390011969
333	4.388938439
334	4.387774879
335	4.382014073
336	4.379452825
337	4.375773461
338	4.372694261
339	4.367945533
340	4.363678405
341	4.361807598
342	4.357262541
343	4.35637051
344	4.356336848
345	4.351150765
346	4.349270264
347	4.345746415
348	4.343929842
349	4.340977071
350	4.339157611
351	4.335436075
352	4.331484373
353	4.329761236
354	4.325605566
355	4.322091074
356	4.31876216
357	4.315895735
358	4.313312122
359	4.308752464
360	4.304118916
361	4.3008026
362	4.298981712
363	4.297837584
364	4.296986041
365	4.293815653
366	4.292163382
367	4.290662885
368	4.288549865
369	4.286403143
370	4.286233033
371	4.282727055
372	4.279451928
373	4.27771469
374	4.274188663
375	4.271605788
376	4.269309813
377	4.268423966
378	4.267516983
379	4.263996497
380	4.26272872
381	4.259431613
382	4.256410773
383	4.25274443
384	4.248329298
385	4.244736939
386	4.243134495
387	4.239983648
388	4.237310517
389	4.236408066
390	4.235580317
391	4.22966773
392	4.227985422
393	4.224573014
394	4.222444263
395	4.219488457
396	4.217553777
397	4.210983583
398	4.209612906
399	4.205082697
400	4.203538825
401	4.202611284
402	4.198803269
403	4.196063969
404	4.195812826
405	4.19411499
406	4.19029961
407	4.187302604
408	4.184460429
409	4.182644905
410	4.176992559
411	4.175035622
412	4.172244668
413	4.167889289
414	4.164482964
415	4.161949216
416	4.159535234
417	4.156203954
418	4.151547939
419	4.148467116
420	4.146841579
421	4.144156622
422	4.143233823
423	4.140317866
424	4.138870883
425	4.138194244
426	4.133112562
427	4.131142415
428	4.126729844
429	4.126689549
430	4.124665569
431	4.123420842
432	4.122759123
433	4.119369944
434	4.118055581
435	4.115730665
436	4.1121526
437	4.111995882
438	4.109035321
439	4.107856814
440	4.105684281
441	4.103318816
442	4.100328309
443	4.096403581
444	4.09593813
445	4.095236432
446	4.093416142
447	4.090739025
448	4.09002318
449	4.088257191
450	4.084793406
451	4.081640763
452	4.078694662
453	4.0776766
454	4.077155244
455	4.073180989
456	4.071272601
457	4.070451001
458	4.066988665
459	4.065747183
460	4.063626386
461	4.060305955
462	4.056951525
463	4.053635501
464	4.052481594
465	4.048613927
466	4.045650766
467	4.042523765
468	4.042435893
469	4.038687768
470	4.036969783
471	4.03223481
472	4.029776302
473	4.028398136
474	4.025056129
475	4.022593157
476	4.021426378
477	4.020655747
478	4.018352734
479	4.015898342
480	4.012012213
481	4.009407221
482	4.00675669
483	4.001484554
484	4.000333167
485	3.998771441
486	3.998113003
487	3.994669092
488	3.992657959
489	3.989686823
490	3.987654301
491	3.985649909
492	3.983663039
493	3.980539986
494	3.978731779
495	3.977763443
496	3.976162526
497	3.974591754
498	3.97420389
499	3.97308857
500	3.971610597
501	3.969195487
502	3.967421744
503	3.965708973
504	3.964846011
505	3.961207091
506	3.957292709
507	3.957185664
508	3.956502316
509	3.953876274
510	3.949946557
511	3.949564805
512	3.945384601
513	3.942677203
514	3.940327569
515	3.938934823
516	3.936499956
517	3.932230736
518	3.929675249
519	3.929136058
520	3.92898556
521	3.926856024
522	3.925141316
523	3.92346614
524	3.920468813
525	3.917874232
526	3.914886423
527	3.914738911
528	3.911216046
529	3.90989174
530	3.909258964
531	3.906827533
532	3.905844835
533	3.905124564
534	3.904947546
535	3.902756326
536	3.901480865
537	3.900303664
538	3.898277247
539	3.896814249
540	3.893353945
541	3.892384053
542	3.890261723
543	3.889827244
544	3.885699725
545	3.880952682
546	3.880374502
547	3.878661372
548	3.87793679
549	3.875401157
550	3.874967102
551	3.871578403
552	3.870905778
553	3.867913117
554	3.864738032
555	3.860751834
556	3.859769996
557	3.857879198
558	3.855949827
559	3.853827163
560	3.850214789
561	3.844991114
562	3.84446048
563	3.842582127
564	3.842088501
565	3.841078518
566	3.839866148
567	3.839712817
568	3.837524798
569	3.833777384
570	3.830108926
571	3.829677742
572	3.826479733
573	3.82621791
574	3.823934852
575	3.823761385
576	3.823335525
577	3.82322632
578	3.819306438
579	3.818919087
580	3.815562741
581	3.815322829
582	3.811349035
583	3.807124651
584	3.8037429
585	3.800146836
586	3.799551282
587	3.797370112
588	3.79614883
589	3.795184797
590	3.793362928
591	3.792654963
592	3.792520543
593	3.789199434
594	3.787158466
595	3.78617606
596	3.783820672
597	3.781153573
598	3.778870277
599	3.776853891
600	3.774390839
601	3.772428789
602	3.769680728
603	3.768984033
604	3.767075345
605	3.765808046
606	3.764489522
607	3.762483765
608	3.761242976
609	3.760381373
610	3.757133551
611	3.755872235
612	3.753757808
613	3.752078657
614	3.749957524
615	3.746970422
616	3.745857264
617	3.744982924
618	3.742438878
619	3.740944599
620	3.73734865
621	3.73594098
622	3.732762726
623	3.732464408
624	3.731054395
625	3.728504468
626	3.725762895
627	3.724454828
628	3.722927684
629	3.721627807
630	3.71984346
631	3.718533856
632	3.71732029
633	3.714086257
634	3.713536189
635	3.711705612
636	3.710252759
637	3.704671555
638	3.70355561
639	3.702782758
640	3.700117588
641	3.697113377
642	3.69571122
643	3.692712468
644	3.692572244
645	3.691035549
646	3.687400882
647	3.686158678
648	3.684839213
649	3.684040182
650	3.679112506
651	3.678098931
652	3.676799836
653	3.673740275
654	3.672601474
655	3.671303634
656	3.670483316
657	3.668450522
658	3.667575339
659	3.6665685
660	3.666230122
661	3.664764636
662	3.664107457
663	3.663561666
664	3.661472025
665	3.656828805
666	3.656762222
667	3.656524329
668	3.651360943
669	3.649935199
670	3.649345222
671	3.649114435
672	3.646163817
673	3.645749409
674	3.644577786
675	3.644303813
676	3.642360084
677	3.64229046
678	3.641380801
679	3.641104187
680	3.639363449
681	3.636876418
682	3.635925887
683	3.634430172
684	3.631724735
685	3.627021018
686	3.625654012
687	3.622108414
688	3.620719375
689	3.620688393
690	3.619339025
691	3.619078959
692	3.616085169
693	3.614831301
694	3.611849451
695	3.608608599
696	3.608345185
697	3.606761733
698	3.605075544
699	3.603267587
700	3.602877644
701	3.602781292
702	3.599269865
703	3.595470232
704	3.592175314
705	3.591390588
706	3.59101215
707	3.588007472
708	3.58707929
709	3.58383221
710	3.582072976
711	3.581635315
712	3.578539773
713	3.574665149
714	3.572817099
715	3.572460111
716	3.569806814
717	3.568423477
718	3.56665832
719	3.566544365
720	3.564219025
721	3.561178433
722	3.557601016
723	3.557464013
724	3.557124506
725	3.556151088
726	3.553507765
727	3.551570988
728	3.548747123
729	3.548460958
730	3.547668418
731	3.546846211
732	3.543475629
733	3.541574214
734	3.541250976
735	3.540156465
736	3.538781109
737	3.536960325
738	3.535310321
739	3.532378143
740	3.531664127
741	3.528517987
742	3.526719758
743	3.526304793
744	3.525206416
745	3.524531188
746	3.521895146
747	3.519419359
748	3.517975732
749	3.5168087
750	3.514946801
751	3.513585121
752	3.513252152
753	3.511827302
754	3.509091975
755	3.507533563
756	3.505434896
757	3.502797148
758	3.499950932
759	3.49923655
760	3.498182064
761	3.497221522
762	3.496925706
763	3.495368425
764	3.493607284
765	3.4930715
766	3.490433332
767	3.486021022
768	3.485508452
769	3.484192264
770	3.484110842
771	3.48314062
772	3.481044011
773	3.480682365
774	3.479513516
775	3.478694209
776	3.476382826
777	3.474547675
778	3.472625052
779	3.469613017
780	3.467595414
781	3.466242172
782	3.466005177
783	3.465479626
784	3.464160731
785	3.46286056
786	3.46165857
787	3.46001295
788	3.455940824
789	3.454895042
790	3.4546203
791	3.454235816
792	3.453190776
793	3.450528238
794	3.447250563
795	3.443121258
796	3.44032088
797	3.44012606
798	3.43944139
799	3.43779774
800	3.43567996
801	3.435034972
802	3.433508207
803	3.431199598
804	3.430069373
805	3.428741836
806	3.426801729
807	3.426754554
808	3.424004985
809	3.423228872
810	3.420714989
811	3.419497161
812	3.416999833
813	3.41577991
814	3.414027159
815	3.412410129
816	3.409203502
817	3.407092158
818	3.405592042
819	3.404275834
820	3.401450257
821	3.400829628
822	3.399056436
823	3.397307066
824	3.394767746
825	3.394030229
826	3.393963236
827	3.392679553
828	3.391008607
829	3.39017981
830	3.388753035
831	3.387204665
832	3.384066784
833	3.383985535
834	3.382184973
835	3.378653939
836	3.378169549
837	3.377160825
838	3.376132542
839	3.373521471
840	3.371587394
841	3.367173912
842	3.364181203
843	3.362838164
844	3.361876648
845	3.36095293
846	3.358234765
847	3.356494396
848	3.355239787
849	3.353527522
850	3.35190717
851	3.351867349
852	3.350320878
853	3.349921136
854	3.348603602
855	3.348520647
856	3.34725938
857	3.346923754
858	3.344677217
859	3.341209948
860	3.340205869
861	3.339805235
862	3.338602989
863	3.337037181
864	3.336824412
865	3.334255697
866	3.333638429
867	3.330809673
868	3.327378522
869	3.324803466
870	3.321856357
871	3.320622258
872	3.319627358
873	3.317561857
874	3.315175914
875	3.313964746
876	3.312201544
877	3.310896531
878	3.309807169
879	3.308993521
880	3.307485781
881	3.306388128
882	3.305071808
883	3.304408103
884	3.303426021
885	3.300141452
886	3.297996976
887	3.297847335
888	3.295558929
889	3.295404845
890	3.293954581
891	3.292641604
892	3.289494523
893	3.288039241
894	3.284372089
895	3.283874429
896	3.282596006
897	3.281121091
898	3.280656651
899	3.277833201
900	3.276648801
901	3.272882609
902	3.270408993
903	3.269548769
904	3.268387446
905	3.26740435
906	3.266151396
907	3.263772191
908	3.262932872
909	3.261965008
910	3.259659169
911	3.257413376
912	3.254605631
913	3.253517749
914	3.252058451
915	3.248836937
916	3.246791838
917	3.246447422
918	3.245132025
919	3.245089388
920	3.244921426
921	3.242471986
922	3.241580607
923	3.240597999
924	3.240046529
925	3.237849281
926	3.236909393
927	3.236747264
928	3.235405441
929	3.235047347
930	3.233274737
931	3.232415745
932	3.230366603
933	3.228085886
934	3.227001434
935	3.226168386
936	3.224397716
937	3.222697607
938	3.221140236
939	3.219780267
940	3.219089686
941	3.217884137
942	3.216950731
943	3.214107552
944	3.213010802
945	3.212266132
946	3.211064188
947	3.210560853
948	3.210004541
949	3.209520754
950	3.207248191
951	3.204619765
952	3.203709814
953	3.20209504
954	3.200219832
955	3.198787901
956	3.197527226
957	3.19480845
958	3.193487332
959	3.192781874
960	3.192092685
961	3.191861192
962	3.191522855
963	3.191097533
964	3.18957494
965	3.188210969
966	3.187835334
967	3.185762045
968	3.185084693
969	3.183879284
970	3.181921197
971	3.180621448
972	3.179740995
973	3.177426717
974	3.177175975
975	3.176429771
976	3.176173539
977	3.176127759
978	3.175285702
979	3.173632111
980	3.170648553
981	3.167215786
982	3.165990637
983	3.165819114
984	3.164789226
985	3.164103191
986	3.163342583
987	3.162134951
988	3.161422796
989	3.16087997
990	3.159143254
991	3.158322141
992	3.156090824
993	3.154587006
994	3.154154007
995	3.153824415
996	3.15298021
997	3.152654308
998	3.152647838
999	3.151947773
